Date,Category,Notes,Link,,
4/17/2020,Mask Mandate,"Alameda County mandates cloth masks in public, at essential",https://www.pleasantonweekly.com/news/2020/04/17/alameda-county-mandates-cloth-masks-in-public-at-essential-businesses,,
5/18/2020,Stay at Home Order,Alameda County eases stay at home restrictions as,https://oaklandvoices.us/2020/05/18/alameda-county-shelter-in-place-lifted-coronavirus-cases-rise/,,
6/5/2020,Stay at Home Order Lifted,"Alameda County allows 'social bubbles,' mandates face",https://www.mercurynews.com/2020/06/05/coronavirus-alameda-county-allows-social-bubbles-expands-face-covering-guidance,,
6/19/2020,Business Opened,"Restaurants, shops begin reopen in Alameda County",https://www.eastbaytimes.com/2020/06/19/alameda-county-reopens-a-little-more-but-some-businesses-and-customers-still-a-little-wary,,
6/12/2020,Stay at Home Order Lifted,"Alameda County To Reopen Outdoor Dining, Houses Of",https://sanfrancisco.cbslocal.com/2020/06/12/alameda-county-to-reopen-outdoor-dining-houses-of-worship-indoor-retail-next-week/,,
6/12/2020,Business Opened,"Alameda County to allow outdoor dining, shopping June 19",https://www.mercurynews.com/2020/06/12/covid-19-alameda-county-to-allow-outdoor-dining-indoor-shopping-june-19,,
6/18/2020,Stay at Home Order Lifted,Coronavirus updates: Alameda County officially reopens,https://www.sfgate.com/news/editorspicks/article/Coronavirus-updates-Pier-39-reopens-today-15349329.php,,
9/25/2020,Business Opened,"Alameda County able to open certain businesses, possibly",https://www.dailycal.org/2020/09/25/alameda-county-able-to-open-certain-businesses-possibly-schools/,,
9/22/2020,School Opened,"Alameda County moves into red tier, allowing schools to",https://www.kron4.com/news/bay-area/alameda-county-moves-into-red-tier-which-allows-schools-to-reopen-for-in-person-learning/,,
10/1/2020,School Opened,Elementary schools in Alameda County allowed to reopen Oct,https://www.kron4.com/news/bay-area/elementary-schools-in-alameda-county-allowed-to-reopen-oct-13/,,
10/1/2020,Stay at Home Order Lifted,COVID-19 Reopening: Alameda County To Allow Elementary,https://sanfrancisco.cbslocal.com/2020/10/01/covid-19-reopening-alameda-county-to-allow-elementary-schools-to-open-on-oct-13-if-qualified/,,
10/21/2020,Stay at Home Order Lifted,Alameda County Moves Up Timeline To Reopen Restaurants,https://patch.com/california/pleasanton/alameda-county-moves-timeline-reopen-restaurants-more,,
11/09/2020,School Opened,"Alameda County gives OK for schools to open Nov. 9, but",https://abc7news.com/alameda-county-schools-reopening-education-coronavirus-health/7438400/,,
11/12/2020,Stay at Home Order,"Alameda County returns to most restrictive, purple COVID-19",https://www.berkeleyside.org/2020/11/12/alameda-county-freezes-new-openings-berkeley-oakland-worsening-covid-conditions,,
11/17/2020,Stay at Home Order,"Indoor dining closed again in Berkeley, Alameda County due",https://oaklandside.org/2020/11/17/indoor-dining-closed-again-in-alameda-county-due-to-covid-19-surge/,,
1/8/2021,Stay at Home Order,Alameda County stay-at-home order likely to extend | KRON4,https://www.kron4.com/news/bay-area/alameda-county-stay-at-home-order-likely-to-extend/,,
1/25/2021,Stay at Home Order Lifted,See Which Alameda County Businesses Can Reopen,https://patch.com/california/fremont/see-which-alameda-county-businesses-can-reopen-latest-case-count,,-1
1/28/2021,School Opened,Alameda County schools could reopen soon | KRON4,https://www.kron4.com/news/bay-area/alameda-county-schools-could-reopen-soon/,,
3/10/2021,Stay at Home Order Lifted,CA clears Alameda County to move into red tier of reopening,https://www.dailycal.org/2021/03/09/ca-clears-alameda-county-to-move-into-red-tier-of-reopening-system/,,
