Dates,Closure/Opening,Notes,Link
3/16/2020,Minor Closure,Local Government Requests for Congregate Meal Sites and Entertainment Venues to Shut Down,https://www.miamidade.gov/global/initiatives/coronavirus/emergency-orders.page
3/16/2020,Major Closure,Schools Shut Down,https://www.nbcmiami.com/news/local/south-florida-public-schools-giving-updates-on-coronavirus-response/2205363/
3/18/2020,Minor Closure,Gatherings of More Than Ten in Government-Operated Recreational Areas Prohibited,
3/19/2020,Major Closure,All Non-essential Businesses Closed,
3/21/2020,Minor Closure,"Hotels Prohibited From Accepting Reservations, Rafting is Prohibited",
3/24/2020,Minor Closure,Gatherings of Over Ten People on Streets and Sidewalks Prohibited,
3/31/2020,Major Closure,All Fitness Facilities Closed,
4/2/2020,Minor Closure,All Unpackaged Food Production Cut by 50%,
4/2/2020,Major Closure,Stay At Home Order Issued,https://abc7.com/los-angeles-coronavirus-update-la-county-covid-restaurants-bars/8181136/
4/4/2020,Major Closure,Masks Required Outside Homes,
5/27/2020,Major Opening,"Beaches, Swimming Pools, and Hotels Reopen with Social Distancing Requirements",
5/31/2020,Minor Opening,Pools Allowed to Open in Accordance with Emergency Standards,
6/4/2020,Major Opening,"Banquet Halls, Gyms, Fitness Centers, Summer Camps, Dog Parks, and Other High Risk Venues Allowed to Open Under Restrictions",
7/2/2020,Minor Closure,Curfew Between 10p.m. and 6a.m. Enacted,
7/7/2020,Minor Closure,"Banquet Halls Close, Gyms Require Masks, and Restaurants Must Operate Outdoors",
8/28/2020,Major Opening,Restaurants Allowed to Open at 50% Capacity and Casinos Reopen,
9/17/2020,Major Opening,"Movie Theaters, Concert Houses, Convention Spaces, and Other Entertainment Venues Allowed to Reopen Under Restrictions",
9/26/2020,Major Opening,Retail Establishments and Restaurants Allowed to Reopen,
4/5/2021,Major Opening,All Commercial Establishments Allowed to Reopen,
